title,author,venue,year,paper_url
A Signal Propagation Perspective for Pruning Neural Networks at Initialization,"Namhoon Lee, Thalaiyasingam Ajanthan, Stephen Gould, Philip H. S. Torr",ICLR,2020,https://arxiv.org/abs/1906.06307
Comparing Rewinding and Fine-tuning in Neural Network Pruning,"Alex Renda, Jonathan Frankle, Michael Carbin",ICLR,2020,https://arxiv.org/abs/2003.02389
Data-Independent Neural Pruning via Coresets,"Ben Mussay, Margarita Osadchy, Vladimir Braverman, Samson Zhou, Dan Feldman",ICLR,2020,https://arxiv.org/abs/1907.04018
Dynamic Channel Pruning: Feature Boosting and Suppression,"Xitong Gao, Yiren Zhao, _ukasz Dudziak, Robert Mullins, Cheng-zhong Xu",ICLR,2019,https://arxiv.org/abs/1810.05331
Dynamic Model Pruning with Feedback,"Tao Lin, Sebastian U. Stich, Luis Barba, Daniil Dmitriev, Martin Jaggi",ICLR,2020,https://openreview.net/forum?id=SJem8lSFwB
Dynamic Sparse Graph for Efficient Deep Learning,"Liu Liu, Lei Deng, Xing Hu, Maohua Zhu, Guoqi Li, Yufei Ding, Yuan Xie",ICLR,2019,https://arxiv.org/abs/1810.00859
Lookahead: A Far-sighted Alternative of Magnitude-based Pruning,"Sejun Park, Jaeho Lee, Sangwoo Mo, Jinwoo Shin",ICLR,2020,https://arxiv.org/abs/2002.04809
One-Shot Pruning of Recurrent Neural Networks by Jacobian Spectrum Evaluation,"Matthew Shunshi Zhang, Bradly Stadie",ICLR,2020,https://arxiv.org/abs/1912.00120
Provable Filter Pruning for Efficient Neural Networks,"Lucas Liebenwein, Cenk Baykal, Harry Lang, Dan Feldman, Daniela Rus",ICLR,2020,https://arxiv.org/abs/1911.07412
ProxSGD: Training Structured Neural Networks under Regularization and Constraints,"Yang Yang, Yaxiong Yuan, Avraam Chatzimichailidis, Ruud JG van Sloun, Lei Lei, Symeon Chatzinotas",ICLR,2020,https://openreview.net/forum?id=HygpthEtvr
Rethinking the Value of Network Pruning,"Zhuang Liu, Mingjie Sun, Tinghui Zhou, Gao Huang, Trevor Darrell",ICLR,2019,https://arxiv.org/abs/1810.05270
SNIP: Single-shot Network Pruning based on Connection Sensitivity,"Namhoon Lee, Thalaiyasingam Ajanthan, Philip H. S. Torr",ICLR,2019,https://arxiv.org/abs/1810.02340
"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks","Jonathan Frankle, Michael Carbin",ICLR,2019,https://arxiv.org/abs/1803.03635
Adversarial Neural Pruning with Latent Vulnerability Suppression,"Divyam Madaan, EJinwoo Shin, ESung Ju Hwang",ICML,2020,https://arxiv.org/abs/1908.04355
